vol_regime,trend_regime,session_regime,event_type,event_direction,horizon,n,hit_rate,expectancy,exp_brl,sharpe,max_dd,pf,p_binom,p_binom_fdr,fdr_significant
LOW,RANGE,OPENING,ABSORPTION,BEARISH,7,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BEARISH,10,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BEARISH,15,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,BEARISH,20,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,NEUTRAL,3,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,NEUTRAL,5,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,NEUTRAL,7,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,NEUTRAL,10,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,NEUTRAL,15,0,,,,,,,,,False
LOW,RANGE,OPENING,ABSORPTION,NEUTRAL,20,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BULLISH,3,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BULLISH,5,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BULLISH,7,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BULLISH,10,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BULLISH,15,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BULLISH,20,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BEARISH,3,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BEARISH,5,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BEARISH,7,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BEARISH,10,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BEARISH,15,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,BEARISH,20,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,NEUTRAL,3,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,NEUTRAL,5,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,NEUTRAL,7,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,NEUTRAL,10,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,NEUTRAL,15,0,,,,,,,,,False
LOW,RANGE,OPENING,EXHAUSTION,NEUTRAL,20,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BULLISH,3,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BULLISH,5,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BULLISH,7,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BULLISH,10,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BULLISH,15,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BULLISH,20,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BEARISH,3,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BEARISH,5,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BEARISH,7,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BEARISH,10,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BEARISH,15,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,BEARISH,20,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,NEUTRAL,3,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,NEUTRAL,5,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,NEUTRAL,7,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,NEUTRAL,10,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,NEUTRAL,15,0,,,,,,,,,False
LOW,RANGE,OPENING,NONE,NEUTRAL,20,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BULLISH,3,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BULLISH,5,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BULLISH,7,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BULLISH,10,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BULLISH,15,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BULLISH,20,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BEARISH,3,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BEARISH,5,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BEARISH,7,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BEARISH,10,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BEARISH,15,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,BEARISH,20,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,NEUTRAL,3,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,NEUTRAL,5,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,NEUTRAL,7,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,NEUTRAL,10,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,NEUTRAL,15,0,,,,,,,,,False
LOW,RANGE,CORE,INITIATION,NEUTRAL,20,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BULLISH,3,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BULLISH,5,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BULLISH,7,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BULLISH,10,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BULLISH,15,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BULLISH,20,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BEARISH,3,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BEARISH,5,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BEARISH,7,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BEARISH,10,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BEARISH,15,0,,,,,,,,,False
LOW,RANGE,CORE,ABSORPTION,BEARISH,20,0,,,,,,,,,False
